name,property_type,room_type,bedrooms,beds,bed_type,bathrooms,minimum_nights,maximum_nights,cancellation_policy,price,security_deposit,cleaning_fee,extra_people,guests_included,street,sub_urban,government_area,country_code,market,latitude,longitude,host_id,host_name,host_location,host_neighbourhood,host_identity_verified,host_is_superhost,host_response_rate,avilability_30,avilability_60,avilability_90,avilability_365,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,review_scores_rating,total_reviews
Beautiful 1/1/1 in Waikiki!,Condominium,Entire home/apt,1.0,2,Real Bed,1.0,90,1125,strict_14_with_grace_period,142.0,0.0,120.0,0,2,"Honolulu, HI, United States",Honolulu,Primary Urban Center,US,Oahu,21.27592,-157.8205,13468379,Ratana,"Kailua, Hawaii, United States",Waikiki,yes,yes,100.0,0,0,0,0,10,10,10,10,10,10,100,5399
The Back Corner,Cabin,Entire home/apt,0.0,1,Real Bed,1.0,2,5,strict_14_with_grace_period,70.0,250.0,0.0,20,1,"Malabar, NSW, Australia",Malabar,Randwick,AU,Sydney,-33.96664,151.24884,197828925,Gail,"Malabar, New South Wales, Australia",Malabar,no,yes,100.0,12,37,67,68,10,10,10,10,10,10,100,5293
"Cosy and bright double room. El Born, Barcelona.",Apartment,Private room,1.0,1,Real Bed,1.0,1,5,flexible,35.0,0.0,5.0,5,1,"Barcelona, Catalunya, Spain",Sant Pere/Santa Caterina,"Sant Pere, Santa Caterina i la Ribera",ES,Barcelona,41.38763,2.1818,15596380,Pedro,"Barcelona, Catalonia, Spain",El Born,no,yes,90.0,0,0,0,0,10,10,10,10,10,9,96,2
Smart Studio next to El Born,Apartment,Entire home/apt,0.0,1,Real Bed,1.0,60,300,flexible,40.0,2000.0,85.0,0,1,"Barcelona, Catalunya, Spain",Ciutat Vella,el Barri Gòtic,ES,Barcelona,41.38406,2.17585,72984879,Ellie,"Barcelona, Catalonia, Spain",El Raval,no,yes,100.0,0,0,0,272,not_available,not_available,not_available,not_available,not_available,not_available,not_available,2
Oceanfront Sun Suite - Beachfront Oasis  ✔Wifi ✔AC,Condominium,Entire home/apt,1.0,1,Real Bed,1.0,1,1125,moderate,139.0,150.0,99.0,0,1,"Waianae, HI, United States",Nanakuli/Maili,Waianae,US,Oahu,21.41425,-158.17655,197888507,Tatiana,US,Nanakuli/Maili,no,yes,100.0,4,18,29,182,10,10,10,10,9,10,100,25530
Room in East Village with Private Entrance,Apartment,Private room,1.0,1,Real Bed,1.0,2,760,strict_14_with_grace_period,88.0,0.0,10.0,0,1,"New York, NY, United States",Manhattan,East Village,US,New York,40.72534,-73.98591,1020539,Dominique,"New York, New York, United States",East Village,yes,no,70.0,0,0,0,0,8,7,9,9,9,8,82,33731
Las Ramblas Penthouse Apartment,Apartment,Entire home/apt,2.0,3,Real Bed,1.0,3,1125,strict_14_with_grace_period,130.0,250.0,60.0,20,2,"Barcelona, Catalunya, Spain",Ciutat Vella,el Barri Gòtic,ES,Barcelona,41.38123,2.17557,21873399,Sol,"Barcelona, Catalonia, Spain",Dreta de l'Eixample,yes,no,85.0,2,2,2,2,10,10,10,10,10,10,100,2
Maison de ville moderne proche jardin Botanique,Townhouse,Entire home/apt,3.0,4,Real Bed,1.5,2,1125,flexible,160.0,500.0,60.0,0,1,"Montréal, Québec, Canada",Rosemont-La Petite-Patrie,Rosemont-La Petite-Patrie,CA,Montreal,45.56223,-73.5769,197929511,Florence,"Montreal, Quebec, Canada",Rosemont-La Petite-Patrie,no,no,0.0,0,0,0,0,8,5,8,8,8,7,80,731
Your Opo Vintage Apartments 2F,Serviced apartment,Entire home/apt,1.0,1,Real Bed,1.0,1,1125,moderate,49.0,0.0,0.0,0,1,"Porto, Grande Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PT,Porto,41.1545,-8.60438,16922131,YourOpo,Portugal,-,no,yes,100.0,14,44,71,344,not_available,not_available,not_available,not_available,not_available,not_available,not_available,2
Stylish 2 BDR Apartment -Close to Redfern Station,Apartment,Entire home/apt,2.0,2,Real Bed,2.0,1,1125,moderate,181.0,700.0,160.0,0,1,"Alexandria, NSW, Australia",Redfern,Sydney,AU,Sydney,-33.89472,151.19829,192002147,Franca & Alessio,"Saint Peters, New South Wales, Australia",Haymarket,no,no,100.0,0,0,0,7,10,9,9,10,9,9,91,9219
Renovated Federalist House with a Private Garden and Hot Tub,House,Entire home/apt,5.0,5,Real Bed,2.0,2,1125,moderate,299.0,1500.0,400.0,0,1,"Drummoyne, NSW, Australia",Drummoyne,Canada Bay,AU,Sydney,-33.8464,151.15249,192002147,Franca & Alessio,"Saint Peters, New South Wales, Australia",Haymarket,no,no,100.0,17,47,77,91,10,10,10,10,10,10,98,8408
全新裝旺角朗豪坊對面2分鐘地鐵可住5人New Reno Apt 2 min Mongkok MTR,Apartment,Entire home/apt,2.0,3,Real Bed,1.0,2,1125,strict_14_with_grace_period,903.0,0.0,280.0,125,5,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,Yau Tsim Mong,HK,Hong Kong,22.31996,114.16791,85800321,Lexter,Hong Kong,Mong Kok,no,yes,100.0,5,12,31,53,10,10,10,10,10,10,99,15399
Room in Osmanbey,Apartment,Private room,1.0,1,Real Bed,1.0,2,1125,moderate,90.0,0.0,63.0,37,2,"Şişli, İstanbul, Turkey",Şişli,Sisli,TR,Istanbul,41.0512,28.98504,45455859,Mustafa,"Istanbul, İstanbul, Turkey",Şişli,yes,no,100.0,27,57,87,177,10,10,10,10,10,9,96,2377
香港西貢海景游泳池大房子#Saikung#Hiking#Beach#Relaxing#20%OFF,Guest suite,Private room,1.0,1,Real Bed,1.0,2,50,flexible,675.0,0.0,149.0,149,1,"Hong Kong, New Territories, Hong Kong",,Sai Kung,HK,Hong Kong,22.39018,114.26052,67839172,Fairy,"Hong Kong Island, Hong Kong",-,no,no,100.0,28,56,86,86,10,10,10,10,9,9,96,9886
